family	lnL	omega
Exo70G2	-7755.105604	0.15824
Exo70G1	-524.387803	0.09586
Exo70I1	-6572.432844	0.09145
Exo70A1	-5146.378968	0.06519
Exo70A3	-2413.226838	0.09215
Exo70A2	-3144.801486	0.44355
Exo70A4	-5539.221277	0.55103
Exo70C2	-4920.639401	0.07699
Exo70C1	-6262.596504	0.08799
Exo70E1	-6626.416597	0.24234
Exo70F2	-3038.231212	0.10145
Exo70F1	-4808.466877	0.17426
Exo70F3	-4627.772221	0.09241
Exo70F4	-838.29419	0.17028
Exo70F5	-1921.284475	0.43142
Exo70H1	-2494.687116	0.12688
Exo70B1	-2062.285877	0.13202
Exo70B2	-4406.964521	0.30003
Exo70B3	-5990.696972	0.09812
Exo70D2	-4275.208909	0.07072
Exo70D1	-6028.791293	0.12385
