Bradi1g33940.1.p	BdExo70G2
Bradi2g22490.1.p	BdExo70B3
Bradi2g50515.1.p	BdExo70FX2
Bradi2g50730.2.p	BdExo70E1
Bradi2g53820.1.p	BdExo70B1
Bradi2g59057.1.p	BdExo70F1
Bradi3g03860.1.p	BdExo70G1
Bradi3g32640.2.p	BdExo70FX1
Bradi3g37580.1.p	BdExo70D2
Bradi3g40510.1.p	BdExo70I1
Bradi3g41160.1.p	BdExo70F4
Bradi3g43960.2.p	BdExo70F2
Bradi4g24680.3.p	BdExo70C2
Bradi4g24960.1.p	BdExo70A4
Bradi4g31270.1.p	BdExo70D1
Bradi4g41750.1.p	BdExo70C1
Bradi4g41980.2.p	BdExo70A3
Bradi5g01926.1.p	BdExo70FX13a
Bradi5g01930.1.p	BdExo70FX13b
Bradi5g04622.2.p	BdExo70FX9
Bradi5g06870.2.p	BdExo70H1
Bradi5g07740.2.p	BdExo70F3
Bradi5g25512.2.p	BdExo70FX3
Bradi5g25531.1.p	BdExo70FX4
Bradi5g26580.1.p	BdExo70A1
Bradi5g26587.6.p	BdExo70A2
GRMZM2G003518_P01	
GRMZM2G022159_P01	
GRMZM2G029527_P01	
GRMZM2G046590_P01	
GRMZM2G059965_P01	
GRMZM2G065566_P01	
GRMZM2G066464_P01	
GRMZM2G067313_P01	
GRMZM2G074530_P01	
GRMZM2G076389_P01	
GRMZM2G111657_P01	
GRMZM2G111782_P02	
GRMZM2G135817_P01	
GRMZM2G141392_P01	
GRMZM2G143029_P01	
GRMZM2G146711_P01	
GRMZM2G149474_P01	
GRMZM2G162065_P01	
GRMZM2G163172_P01	
GRMZM2G165301_P01	
GRMZM2G166032_P01	
GRMZM2G177227_P01	
GRMZM2G330361_P01	
GRMZM2G343437_P01	
GRMZM2G348151_P01	
GRMZM2G353483_P01	
GRMZM2G357443_P01	
GRMZM2G370741_P01_1_107	
GRMZM2G390691_P01_1_526	
GRMZM2G436742_P01_306_677	
GRMZM2G437490_P01	
GRMZM5G815077_P01	
GRMZM5G869403_P01	
AC208346.3_FGP004	
AC208418.3_FGP009_1_207	
AC218988.3_FGP003_1_112	
HORVU0Hr1G021500.1_32_517	HvExo70FX1b
HORVU1Hr1G070390.1	HvExo70B3
HORVU2Hr1G003540.3_1213_1543	HvExo70FX13
HORVU2Hr1G067350.1	HvExo70H1
HORVU2Hr1G069050.1	HvExo70F3
HORVU2Hr1G116970.2	HvExo70F5
HORVU2Hr1G118450.1	HvExo70FX3
HORVU2Hr1G118460.1_1_377	HvExo70FX4
HORVU2Hr1G118490.1	HvExo70FX5
HORVU2Hr1G118500.1	HvExo70FX6
HORVU2Hr1G118510.1	HvExo70FX7
HORVU2Hr1G118520.1	HvExo70FX8
HORVU2Hr1G123320.1	HvExo70A1
HORVU2Hr1G123350.22	HvExo70A2
HORVU3Hr1G073850.1	HvExo70E1a
HORVU3Hr1G073910.1	HvExo70E1b
HORVU3Hr1G088110.1	HvExo70B1
HORVU3Hr1G094570.3	HvExo70F1
HORVU4Hr1G020050.1	HvExo70C2
HORVU4Hr1G021040.1	HvExo70A4
HORVU4Hr1G079440.1	HvExo70FX2
HORVU5Hr1G039240.1	HvExo70C1
HORVU5Hr1G040140.3	HvExo70A3
HORVU5Hr1G062200.3	HvExo70D1
HORVU6Hr1G021690.1	HvExo70G1
HORVU7Hr1G028060.3	HvExo70F2a
HORVU7Hr1G030080.3	HvExo70FX9
HORVU7Hr1G052100.1	HvExo70I1
HORVU7Hr1G054020.2	HvExo70F4
HORVU7Hr1G064400.1	HvExo70D2
HORVU7Hr1G082050.1	HvExo70FX1a
HORVU7Hr1G084990.1	HvExo70F2b
HORVU7Hr1G098020.1	HvExo70G2
MLOC_11137.3	HvExo70FX11
HvRGH2_1025_1637	HvRGH2
LOC_Os01g05580.1	OsExo70F4c
LOC_Os01g28600.1	OsExo70FX7
LOC_Os01g49460.1_57_151	OsExo70FX16
LOC_Os01g55799.1	OsExo70E1
LOC_Os01g56210.1	OsExo70X5
LOC_Os01g61180.1	OsExo70B1
LOC_Os01g61190.1	OsExo70B2
LOC_Os01g67810.1	OsExo70FX15
LOC_Os01g67820.1	OsExo70FX14
LOC_Os01g69230.1	OsExo70F1
LOC_Os02g05620.1	OsExo70G1
LOC_Os02g30230.1	OsExo70F2
LOC_Os02g36619.1	OsExo70FX6
LOC_Os03g33520.1	OsExo70H2
LOC_Os04g02070.1	OsExo70FX13
LOC_Os04g31330.1	OsExo70F3
LOC_Os04g58870.1	OsExo70A2
LOC_Os04g58880.1	OsExo70A1
LOC_Os05g30620.1	OsExo70X6
LOC_Os05g30640.1	OsExo70FX2
LOC_Os05g30660.1	OsExo70FX3
LOC_Os05g30680.1	OsExo70X7
LOC_Os05g30700.1	OsExo70FX19
LOC_Os05g39610.1	OsExo70B3
LOC_Os06g08460.1	OsExo70FX9
LOC_Os06g14450.1	OsExo70F5
LOC_Os06g48330.1	OsExo70G2
LOC_Os07g10910.1_198_700	OsExo70FX10
LOC_Os07g10920.1	OsExo70X4
LOC_Os07g10940.1_186_709	OsExo70FX11
LOC_Os07g10960.1	OsExo70FX12
LOC_Os07g10970.1	OsExo70X3
LOC_Os08g13270.1	OsExo70FX18
LOC_Os08g13570.1	OsExo70FX4
LOC_Os08g35470.1	OsExo70D2
LOC_Os08g40840.1	OsExo70I1
LOC_Os08g41820.1	OsExo70F4
LOC_Os09g17810.1	OsExo70FX5
LOC_Os09g26820.1	OsExo70D1
LOC_Os10g33850.1	OsExo70F4b
LOC_Os11g01050.1	OsExo70H3b
LOC_Os11g05880.1	OsExo70A3
LOC_Os11g06700.1	OsExo70C2
LOC_Os11g36400.1	OsExo70FX8
LOC_Os11g42989.1	OsExo70H1a
LOC_Os11g43049.1	OsExo70H1b
LOC_Os12g01040.1	OsExo70H3a
LOC_Os12g06840.1	OsExo70C1
LOC_Os12g24620.1_57_141	OsExo70FX17
Oropetium_20150105_02148A	
Oropetium_20150105_03308A	
Oropetium_20150105_05298A	
Oropetium_20150105_05783A	
Oropetium_20150105_05787A	
Oropetium_20150105_08821A	
Oropetium_20150105_09017A	
Oropetium_20150105_10873A	
Oropetium_20150105_10903A_1_562	
Oropetium_20150105_11249A	
Oropetium_20150105_12609A	
Oropetium_20150105_13124A	
Oropetium_20150105_13125A	
Oropetium_20150105_14354A	
Oropetium_20150105_14692A	
Oropetium_20150105_14694A	
Oropetium_20150105_14767A	
Oropetium_20150105_14956A	
Oropetium_20150105_14997A	
Oropetium_20150105_16002A	
Oropetium_20150105_16262A	
Oropetium_20150105_16422A_1014_1	
Oropetium_20150105_17316A	
Oropetium_20150105_18752A	
Oropetium_20150105_23831A	
Oropetium_20150105_24834A	
Oropetium_20150105_26562A_89_686	
Oropetium_20150105_26701A	
Oropetium_20150105_26824A	
Oropetium_20150105_27340A	
Oropetium_20150105_27432A	
Oropetium_20150105_27473A	
Oropetium_20150105_28021A	
Oropetium_20150105_28040A	
ScExo70	ScExo70
Seita.1G088800.1.p	
Seita.1G130000.1.p	
Seita.1G165300.1.p	
Seita.1G167500.1.p	
Seita.2G217900.1.p	
Seita.3G007900.1.p	
Seita.3G008100.1.p	
Seita.3G207400.1.p	
Seita.4G050300.1.p	
Seita.4G050500.1.p	
Seita.4G068000.1.p	
Seita.4G068100.1.p	
Seita.4G113200.1.p	
Seita.4G117500.1.p	
Seita.4G232500.1.p	
Seita.4G244700.1.p	
