position	coverage
1	0.00390625
2	0.00390625
3	0.00390625
4	0.00390625
5	0.00390625
6	0.00390625
7	0.00390625
8	0.00390625
9	0.00390625
10	0.00390625
11	0.00390625
12	0.00390625
13	0.00390625
14	0.00390625
15	0.00390625
16	0.00390625
17	0.00390625
18	0.00390625
19	0.00390625
20	0.00390625
21	0.00390625
22	0.00390625
23	0.00390625
24	0.00390625
25	0.00390625
26	0.00390625
27	0.00390625
28	0.00390625
29	0.00390625
30	0.00390625
31	0.00390625
32	0.00390625
33	0.00390625
34	0.00390625
35	0.00390625
36	0.00390625
37	0.00390625
38	0.00390625
39	0.00390625
40	0.00390625
41	0.00390625
42	0.00390625
43	0.00390625
44	0.00390625
45	0.00390625
46	0.00390625
47	0.00390625
48	0.00390625
49	0.00390625
50	0.00390625
51	0.00390625
52	0.00390625
53	0.00390625
54	0.00390625
55	0.00390625
56	0.00390625
57	0.00390625
58	0.00390625
59	0.00390625
60	0.00390625
61	0.00390625
62	0.00390625
63	0.00390625
64	0.0078125
65	0.01171875
66	0.015625
67	0.01953125
68	0.01953125
69	0.01953125
70	0.0234375
71	0.0234375
72	0.02734375
73	0.0390625
74	0.0390625
75	0.0546875
76	0.0625
77	0.09765625
78	0.1171875
79	0.1328125
80	0.140625
81	0.1640625
82	0.17578125
83	0.19921875
84	0.20703125
85	0.23828125
86	0.27734375
87	0.3203125
88	0.34765625
89	0.36328125
90	0.3828125
91	0.45703125
92	0.5234375
93	0.5625
94	0.5703125
95	0.57421875
96	0.62890625
97	0.65625
98	0.66015625
99	0.6640625
100	0.6640625
101	0.69140625
102	0.6953125
103	0.69921875
104	0.6953125
105	0.05078125
106	0.05078125
107	0.046875
108	0.04296875
109	0.04296875
110	0.046875
111	0.046875
112	0.05078125
113	0.05078125
114	0.05859375
115	0.06640625
116	0.6953125
117	0.72265625
118	0.73828125
119	0.76171875
120	0.77734375
121	0.80078125
122	0.8046875
123	0.8125
124	0.8125
125	0.8125
126	0.8046875
127	0.8046875
128	0.80078125
129	0.77734375
130	0.7734375
131	0.7578125
132	0.7578125
133	0.4921875
134	0.4921875
135	0.4921875
136	0.50390625
137	0.78515625
138	0.7890625
139	0.79296875
140	0.83203125
141	0.8359375
142	0.84375
143	0.8515625
144	0.859375
145	0.8671875
146	0.8671875
147	0.8671875
148	0.86328125
149	0.859375
150	0.85546875
151	0.85546875
152	0.8515625
153	0.69921875
154	0.765625
155	0.7578125
156	0.7578125
157	0.01171875
158	0.01171875
159	0.01171875
160	0.01171875
161	0.01171875
162	0.01953125
163	0.01953125
164	0.01953125
165	0.01953125
166	0.0234375
167	0.03125
168	0.03125
169	0.03515625
170	0.0390625
171	0.04296875
172	0.04296875
173	0.046875
174	0.046875
175	0.05859375
176	0.06640625
177	0.0703125
178	0.07421875
179	0.08203125
180	0.09765625
181	0.09765625
182	0.11328125
183	0.1328125
184	0.16015625
185	0.18359375
186	0.1953125
187	0.22265625
188	0.3203125
189	0.3203125
190	0.3203125
191	0.33203125
192	0.33203125
193	0.3515625
194	0.3515625
195	0.359375
196	0.3671875
197	0.37109375
198	0.37109375
199	0.37890625
200	0.37890625
201	0.37890625
202	0.37890625
203	0.3671875
204	0.3671875
205	0.37109375
206	0.37109375
207	0.375
208	0.37890625
209	0.3828125
210	0.3828125
211	0.3828125
212	0.38671875
213	0.38671875
214	0.38671875
215	0.390625
216	0.390625
217	0.44921875
218	0.453125
219	0.453125
220	0.45703125
221	0.45703125
222	0.45703125
223	0.46484375
224	0.46484375
225	0.46484375
226	0.46484375
227	0.46484375
228	0.46484375
229	0.00390625
230	0.00390625
231	0.00390625
232	0.00390625
233	0.00390625
234	0.00390625
235	0.00390625
236	0.00390625
237	0.00390625
238	0.00390625
239	0.00390625
240	0.00390625
241	0.00390625
242	0.00390625
243	0.03125
244	0.03125
245	0.03125
246	0.03125
247	0.0625
248	0.0625
249	0.07421875
250	0.10546875
251	0.09765625
252	0.2578125
253	0.27734375
254	0.28515625
255	0.34375
256	0.34375
257	0.3515625
258	0.35546875
259	0.359375
260	0.359375
261	0.37890625
262	0.37890625
263	0.37890625
264	0.37890625
265	0.16796875
266	0.16796875
267	0.1796875
268	0.1796875
269	0.19140625
270	0.203125
271	0.203125
272	0.22265625
273	0.2734375
274	0.28125
275	0.36328125
276	0.4140625
277	0.5078125
278	0.609375
279	0.7265625
280	0.765625
281	0.77734375
282	0.77734375
283	0.78125
284	0.7890625
285	0.79296875
286	0.796875
287	0.7890625
288	0.796875
289	0.796875
290	0.796875
291	0.78515625
292	0.78515625
293	0.77734375
294	0.7421875
295	0.734375
296	0.0078125
297	0.0078125
298	0.0078125
299	0.01171875
300	0.015625
301	0.03125
302	0.05859375
303	0.08203125
304	0.12890625
305	0.140625
306	0.1796875
307	0.30859375
308	0.39453125
309	0.40234375
310	0.48828125
311	0.5078125
312	0.51953125
313	0.51953125
314	0.53125
315	0.53515625
316	0.5859375
317	0.6015625
318	0.60546875
319	0.609375
320	0.65625
321	0.65625
322	0.65234375
323	0.65234375
324	0.046875
325	0.0703125
326	0.09375
327	0.09375
328	0.09375
329	0.09375
330	0.09375
331	0.09375
332	0.09375
333	0.09765625
334	0.78515625
335	0.7890625
336	0.78125
337	0.78125
338	0.78515625
339	0.78515625
340	0.79296875
341	0.07421875
342	0.0703125
343	0.875
344	0.875
345	0.890625
346	0.88671875
347	0.87890625
348	0.8828125
349	0.8828125
350	0.8828125
351	0.8828125
352	0.8828125
353	0.8828125
354	0.8828125
355	0.8828125
356	0.01953125
357	0.01953125
358	0.01953125
359	0.02734375
360	0.02734375
361	0.02734375
362	0.02734375
363	0.02734375
364	0.03125
365	0.03515625
366	0.3046875
367	0.30859375
368	0.30859375
369	0.30859375
370	0.3046875
371	0.30859375
372	0.30859375
373	0.296875
374	0.296875
375	0.265625
376	0.21484375
377	0.1640625
378	0.109375
379	0.0625
380	0.04296875
381	0.04296875
382	0.015625
383	0.015625
384	0.015625
385	0.01171875
386	0.01171875
387	0.01171875
388	0.01171875
389	0.01171875
390	0.01171875
391	0.01171875
392	0.01171875
393	0.015625
394	0.03125
395	0.03515625
396	0.50390625
397	0.53515625
398	0.62109375
399	0.6328125
400	0.65625
401	0.66015625
402	0.66015625
403	0.59375
404	0.66796875
405	0.6640625
406	0.66796875
407	0.67578125
408	0.671875
409	0.671875
410	0.6640625
411	0.18359375
412	0.18359375
413	0.171875
414	0.27734375
415	0.265625
416	0.26953125
417	0.328125
418	0.33984375
419	0.359375
420	0.7265625
421	0.73828125
422	0.7421875
423	0.7421875
424	0.74609375
425	0.73828125
426	0.7421875
427	0.7421875
428	0.73046875
429	0.7265625
430	0.72265625
431	0.72265625
432	0.71875
433	0.109375
434	0.109375
435	0.109375
436	0.109375
437	0.10546875
438	0.1015625
439	0.1015625
440	0.09375
441	0.1015625
442	0.11328125
443	0.14453125
444	0.22265625
445	0.23828125
446	0.25390625
447	0.25
448	0.2890625
449	0.2890625
450	0.29296875
451	0.29296875
452	0.296875
453	0.296875
454	0.3203125
455	0.30859375
456	0.31640625
457	0.30859375
458	0.30859375
459	0.30859375
460	0.16796875
461	0.1640625
462	0.09765625
463	0.09375
464	0.09375
465	0.625
466	0.62890625
467	0.66796875
468	0.7578125
469	0.79296875
470	0.79296875
471	0.8125
472	0.828125
473	0.84375
474	0.84375
475	0.84765625
